dataset population_size generations cross_validation cv_folds fitness accuracy time
0 vowel.scale 1 3 False 10 0.7356322 49.134199134199136 1.166893
1 vowel.scale 21 3 False 10 0.954023 60.60606060606061 41.882721
2 vowel.scale 41 3 False 10 0.9770115 57.35930735930735 331.034223
3 vowel.scale 61 3 False 10 0.95977014 58.658008658008654 71.720209
4 vowel.scale 81 3 False 10 0.9655173 55.84415584415584 376.794056
5 vowel.scale 101 3 False 10 0.9712643 57.7922077922078 103.762845
