N dataset population_size generations cross_validation cv_folds fitness accuracy time
60 iris.scale 12 5 False 10 0.9666667 100.0 61.437845
61 iris.scale 13 1 False 10 0.9666667 100.0 7.008201
62 iris.scale 13 2 False 10 0.9666667 100.0 14.637559
63 iris.scale 13 3 False 10 0.9666667 100.0 6.142451
64 iris.scale 13 4 False 10 0.9666667 100.0 58.558550
65 iris.scale 13 5 False 10 0.9666667 100.0 7.536281
66 iris.scale 14 1 False 10 0.9666667 100.0 0.655793
67 iris.scale 14 2 False 10 0.9666667 86.66666666666667 13.602019
68 iris.scale 14 3 False 10 0.9666667 100.0 9.950509
69 iris.scale 14 4 False 10 0.9666667 96.66666666666667 9.383374
70 iris.scale 14 5 False 10 0.9666667 96.66666666666667 29.055084
71 iris.scale 15 1 False 10 0.9666667 100.0 13.221931
72 iris.scale 15 2 False 10 0.9666667 100.0 32.589870
73 iris.scale 15 3 False 10 0.9666667 96.66666666666667 9.972123
74 iris.scale 15 4 False 10 0.9666667 100.0 9.111060
75 iris.scale 15 5 False 10 0.9666667 100.0 13.223047
76 iris.scale 16 1 False 10 0.9666667 100.0 18.633998
77 iris.scale 16 2 False 10 0.9666667 100.0 19.417696
78 iris.scale 16 3 False 10 0.9666667 100.0 5.862952
79 iris.scale 16 4 False 10 0.9666667 100.0 34.511694
80 iris.scale 16 5 False 10 0.9666667 100.0 33.268050
81 iris.scale 17 1 False 10 0.9666667 100.0 5.029961
82 iris.scale 17 2 False 10 0.9666667 100.0 24.860881
83 iris.scale 17 3 False 10 0.9666667 100.0 11.176727
84 iris.scale 17 4 False 10 0.9666667 80.0 17.530409
85 iris.scale 17 5 False 10 0.9666667 100.0 1.131361
86 iris.scale 18 1 False 10 0.9666667 100.0 0.762747
87 iris.scale 18 2 False 10 0.9666667 100.0 1.019727
88 iris.scale 18 3 False 10 0.9666667 100.0 26.050421
89 iris.scale 18 4 False 10 0.9666667 100.0 16.965427
90 iris.scale 18 5 False 10 0.9666667 96.66666666666667 19.654744
91 iris.scale 19 1 False 10 0.9666667 100.0 18.306476
92 iris.scale 19 2 False 10 0.9666667 100.0 3.761648
