dataset population_size generations cros_validation cv_folds fitness accuracy time
0 dna.scale 1 3 False 10 0.88195616 87.83333333333333 9.961040
1 dna.scale 21 3 False 10 0.9468802 96.33333333333334 829.669668
2 dna.scale 41 3 False 10 0.9451939 93.66666666666667 888.021092
3 dna.scale 61 3 False 10 0.94603705 96.16666666666667 1482.915323
4 dna.scale 81 3 False 10 0.94603705 96.66666666666667 1824.020680
5 dna.scale 101 3 False 10 0.9485666 96.0 2804.492747
