N dataset population_size generations cross_validation cv_folds fitness accuracy time
0 iris.scale 1 4 False 10 0.9666667 100.0 0.351661
1 iris.scale 2 4 False 10 0.9666667 100.0 3.174227
2 iris.scale 3 4 False 10 0.9666667 100.0 20.253484
3 iris.scale 4 4 False 10 0.9666667 100.0 28.716009
4 iris.scale 5 4 False 10 0.9666667 100.0 10.712991
5 iris.scale 6 4 False 10 0.9666667 100.0 19.867103
6 iris.scale 7 4 False 10 0.9666667 100.0 19.974366
7 iris.scale 8 4 False 10 0.9666667 100.0 15.069362
8 iris.scale 9 4 False 10 0.9666667 100.0 20.179300
9 iris.scale 10 4 False 10 0.9666667 100.0 18.551669
10 iris.scale 11 4 False 10 0.9666667 100.0 27.380449
11 iris.scale 12 4 False 10 0.9666667 100.0 20.676036
12 iris.scale 13 4 False 10 0.9666667 100.0 18.785962
13 iris.scale 14 4 False 10 0.9666667 100.0 48.082953
14 iris.scale 15 4 False 10 0.9666667 90.0 5.666834
