N dataset population_size n.o.generations cross_validation cv_folds fitness accuracy time
0 iris.scale 1 3 False 10 0.93333334 100.0 0.707695
1 iris.scale 21 3 False 10 0.9666667 100.0 1.687005
2 iris.scale 41 3 False 10 0.9666667 100.0 42.969192
3 iris.scale 61 3 False 10 0.9666667 100.0 40.681785
4 iris.scale 81 3 False 10 0.9666667 96.66666666666667 52.030132
5 iris.scale 101 3 False 10 0.9666667 100.0 39.265091
