N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
33 vowel.scale 9 5 False 10 0.7575758 63.63636363636363 0.8939394 54.54545454545454 0.9242424 31.818181818181817 0.78030306 18.939393939393938 0.84090906 65.15151515151516 0.839394 46.818182 49.121154
34 vowel.scale 9 6 False 10 0.8333333 63.63636363636363 0.9242424 90.15151515151516 0.9166666 67.42424242424242 0.9166666 84.84848484848484 0.88636357 68.93939393939394 0.895454 75.000000 54.996695
35 vowel.scale 9 7 False 10 0.81060606 46.96969696969697 0.9545454 83.33333333333334 0.939394 67.42424242424242 0.9090909 33.33333333333333 0.76515156 68.93939393939394 0.875758 60.000000 76.532011
36 vowel.scale 11 1 False 10 0.9166666 90.9090909090909 0.9469697 73.48484848484848 0.9545454 68.18181818181817 0.7045455 42.42424242424242 0.72727275 74.24242424242425 0.850000 69.848485 46.854879
37 vowel.scale 11 2 False 10 0.9242424 30.303030303030305 0.76515156 78.78787878787878 0.87878793 78.03030303030303 0.9166666 87.12121212121212 0.78030306 81.81818181818183 0.853030 71.212121 44.645192
38 vowel.scale 11 3 False 10 0.9242424 50.0 0.7045455 75.75757575757575 0.939394 92.42424242424242 0.9090909 87.12121212121212 0.9015151 80.3030303030303 0.875758 77.121212 37.176837
39 vowel.scale 11 4 False 10 0.9090909 90.15151515151516 0.7121212 52.27272727272727 0.72727275 71.96969696969697 0.8333333 66.66666666666666 0.9015151 93.93939393939394 0.816667 75.000000 41.930117
40 vowel.scale 11 5 False 10 0.57575756 62.121212121212125 0.9469697 93.18181818181817 0.9469697 92.42424242424242 0.9166666 86.36363636363636 0.9015151 88.63636363636364 0.857576 84.545455 58.217573
41 vowel.scale 11 6 False 10 0.9015151 83.33333333333334 0.9469697 75.0 0.939394 92.42424242424242 0.77272725 76.51515151515152 0.72727275 68.93939393939394 0.857576 79.242424 62.274338
42 vowel.scale 11 7 False 10 0.9166666 77.27272727272727 1.0 69.6969696969697 0.9090909 83.33333333333334 0.9469697 87.12121212121212 0.88636357 90.15151515151516 0.931818 81.515152 80.237299
43 vowel.scale 13 1 False 10 0.9015151 89.39393939393939 0.9090909 89.39393939393939 0.9166666 87.12121212121212 0.939394 87.12121212121212 0.76515156 12.121212121212121 0.886364 73.030303 14.947516
44 vowel.scale 13 2 False 10 0.9166666 78.03030303030303 0.9469697 90.15151515151516 0.9318181 92.42424242424242 0.9015151 79.54545454545455 0.87878793 35.60606060606061 0.915151 75.151515 22.808651
45 vowel.scale 13 3 False 10 0.9015151 89.39393939393939 0.8939394 90.15151515151516 0.75 68.93939393939394 0.76515156 76.51515151515152 0.72727275 84.0909090909091 0.807576 81.818182 32.414411
46 vowel.scale 13 4 False 10 0.9242424 74.24242424242425 0.9469697 93.18181818181817 0.9166666 71.21212121212122 0.9242424 87.12121212121212 0.9015151 93.18181818181817 0.922727 83.787879 43.694266
47 vowel.scale 13 5 False 10 0.9166666 37.121212121212125 0.9469697 93.18181818181817 0.9242424 87.12121212121212 0.9166666 86.36363636363636 0.8939394 78.78787878787878 0.919697 76.515152 50.908227
48 vowel.scale 13 6 False 10 0.9015151 89.39393939393939 0.7121212 74.24242424242425 0.9469697 92.42424242424242 0.9242424 25.757575757575758 0.9015151 93.93939393939394 0.877273 75.151515 82.559369
49 vowel.scale 13 7 False 10 0.8712121 86.36363636363636 0.9545454 14.393939393939394 0.9242424 88.63636363636364 0.9469697 87.87878787878788 0.88636357 93.93939393939394 0.916667 74.242424 85.170864
50 vowel.scale 15 1 False 10 0.9090909 7.575757575757576 0.9469697 21.96969696969697 0.9242424 90.9090909090909 0.9469697 70.45454545454545 0.77272725 85.60606060606061 0.900000 55.303030 12.650739
51 vowel.scale 15 2 False 10 0.8333333 78.03030303030303 0.9469697 93.18181818181817 0.8560606 67.42424242424242 0.8484848 80.3030303030303 0.9015151 27.27272727272727 0.877273 69.242424 26.539776
52 vowel.scale 15 3 False 10 0.9015151 89.39393939393939 0.9545454 93.18181818181817 0.87878793 78.03030303030303 0.9166666 87.12121212121212 0.8939394 93.93939393939394 0.909091 88.333333 30.706181
53 vowel.scale 15 4 False 10 0.87878793 85.60606060606061 0.9469697 8.333333333333332 0.87878793 49.24242424242424 0.96212125 19.696969696969695 0.84090906 68.18181818181817 0.901515 46.212121 47.007599
54 vowel.scale 15 5 False 10 0.9166666 87.87878787878788 0.9469697 93.18181818181817 0.9469697 51.515151515151516 0.9469697 87.87878787878788 0.9015151 93.93939393939394 0.931818 82.878788 71.478392
55 vowel.scale 15 6 False 10 0.8939394 83.33333333333334 0.8939394 90.15151515151516 0.9469697 90.9090909090909 0.9166666 86.36363636363636 0.88636357 93.93939393939394 0.907576 88.939394 71.401721
56 vowel.scale 15 7 False 10 0.8636364 86.36363636363636 0.9545454 78.78787878787878 0.9318181 88.63636363636364 0.9242424 86.36363636363636 0.8030303 81.06060606060606 0.895455 84.242424 74.888814
57 vowel.scale 17 1 False 10 0.9015151 42.42424242424242 0.96212125 62.878787878787875 0.9166666 87.12121212121212 0.939394 33.33333333333333 0.6666667 27.27272727272727 0.877273 50.606061 45.465273
58 vowel.scale 17 2 False 10 0.9166666 91.66666666666666 0.9469697 93.18181818181817 0.939394 92.42424242424242 0.9242424 86.36363636363636 0.8939394 10.606060606060606 0.924242 74.848485 41.603061
59 vowel.scale 17 3 False 10 0.9242424 88.63636363636364 0.9545454 64.39393939393939 0.8484848 80.3030303030303 0.9469697 77.27272727272727 0.88636357 94.6969696969697 0.912121 81.060606 43.645283
60 vowel.scale 17 4 False 10 0.9166666 90.15151515151516 0.939394 93.18181818181817 0.9242424 87.12121212121212 0.9469697 87.87878787878788 0.9166666 68.93939393939394 0.928788 85.454545 53.143405
61 vowel.scale 17 5 False 10 0.939394 63.63636363636363 0.9469697 92.42424242424242 0.87878793 18.181818181818183 0.9166666 84.84848484848484 0.9166666 93.18181818181817 0.919697 70.454545 55.330328
62 vowel.scale 17 6 False 10 0.8484848 83.33333333333334 0.9545454 93.18181818181817 0.9166666 71.96969696969697 0.87878793 84.84848484848484 0.9015151 7.575757575757576 0.900000 68.181818 71.995353
63 vowel.scale 17 7 False 10 0.9090909 75.75757575757575 0.9545454 95.45454545454545 0.9090909 67.42424242424242 0.9318181 87.12121212121212 0.9166666 93.18181818181817 0.924242 83.787879 191.984651
64 vowel.scale 19 1 False 10 0.9090909 90.9090909090909 0.96212125 93.93939393939394 0.9318181 90.15151515151516 0.8939394 84.0909090909091 0.9015151 36.36363636363637 0.919697 79.090909 53.292378
65 vowel.scale 19 2 False 10 0.9015151 89.39393939393939 0.969697 12.878787878787879 0.72727275 67.42424242424242 0.9166666 86.36363636363636 0.8333333 84.0909090909091 0.869697 68.030303 23.526069
