N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 fitness5 accuracy5 fitness6 accuracy6 fitness7 accuracy7 fitness8 accuracy8 fitness9 accuracy9 mean_fitness mean_accuracy time
1 vowel.scale 1 1 False 10 0.7575758 67.42424242424242 0.07575758 5.303030303030303 0.6818182 71.96969696969697 0.36363637 41.66666666666667 0.6969697 65.9090909090909 0.44696972 48.484848484848484 0.28030303 25.757575757575758 0.6969697 59.09090909090909 0.03787879 9.848484848484848 0.96212125 92.42424242424242 0.500000 48.787879 0.479739
2 vowel.scale 1 3 False 10 0.9166666 87.12121212121212 0.9545454 94.6969696969697 0.88636357 96.96969696969697 0.9772727 95.45454545454545 0.4393939 42.42424242424242 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.834848 83.333333 0.551854
3 vowel.scale 1 5 False 10 0.77272725 71.21212121212122 0.16666667 7.575757575757576 0.8560606 92.42424242424242 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.598485 57.070707 0.637999
4 vowel.scale 6 1 False 10 0.969697 93.18181818181817 0.9166666 93.93939393939394 0.8484848 90.9090909090909 0.7424242 64.39393939393939 0.8636364 88.63636363636364 0.9015151 94.6969696969697 0.9015151 88.63636363636364 0.9242424 87.12121212121212 0.84090906 84.0909090909091 0.87878793 81.06060606060606 0.878788 86.666667 0.861741
5 vowel.scale 6 3 False 10 0.9166666 89.39393939393939 0.939394 93.93939393939394 0.9015151 96.21212121212122 0.96212125 92.42424242424242 0.8939394 93.18181818181817 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.922727 93.030303 1.007259
6 vowel.scale 6 5 False 10 0.9166666 89.39393939393939 0.9015151 90.15151515151516 0.9015151 95.45454545454545 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.906566 91.666667 56.304630
7 vowel.scale 11 1 False 10 0.8257576 71.96969696969697 0.9242424 94.6969696969697 0.7954545 86.36363636363636 0.7424242 67.42424242424242 0.87878793 92.42424242424242 0.81060606 83.33333333333334 0.8939394 4.545454545454546 0.9242424 87.12121212121212 0.9242424 84.0909090909091 0.9090909 87.12121212121212 0.862879 75.909091 10.766326
8 vowel.scale 11 3 False 10 0.9469697 93.18181818181817 0.9090909 90.15151515151516 0.78030306 83.33333333333334 0.9772727 95.45454545454545 0.939394 93.93939393939394 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.910606 91.212121 30.735171
9 vowel.scale 11 5 False 10 0.9242424 66.66666666666666 0.9545454 25.0 0.88636357 72.72727272727273 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.921717 54.797980 147.943542
10 vowel.scale 16 1 False 10 0.9015151 82.57575757575758 0.9090909 18.181818181818183 0.7424242 72.72727272727273 0.939394 86.36363636363636 0.8939394 90.9090909090909 0.8333333 74.24242424242425 0.88636357 89.39393939393939 0.9242424 52.27272727272727 0.9469697 92.42424242424242 0.77272725 68.18181818181817 0.875000 72.727273 31.768124
