N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 fitness5 accuracy5 fitness6 accuracy6 fitness7 accuracy7 fitness8 accuracy8 fitness9 accuracy9 mean_fitness mean_accuracy time
11 vowel.scale 16 3 False 10 0.9469697 93.18181818181817 0.9166666 66.66666666666666 0.88636357 96.96969696969697 0.88636357 90.9090909090909 0.9166666 65.9090909090909 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.910606 82.727273 57.628852
12 vowel.scale 16 5 False 10 0.9469697 6.8181818181818175 0.9166666 93.18181818181817 0.9166666 15.909090909090908 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.926768 38.636364 78.497351
13 vowel.scale 21 1 False 10 0.9772727 93.93939393939394 0.9015151 66.66666666666666 0.9015151 25.0 0.9772727 96.21212121212122 0.8939394 93.18181818181817 0.9318181 71.96969696969697 0.9090909 87.12121212121212 0.939394 89.39393939393939 0.9469697 92.42424242424242 0.8939394 87.87878787878788 0.927273 80.378788 36.193788
14 vowel.scale 21 3 False 10 0.98484844 93.93939393939394 0.9545454 94.6969696969697 0.9090909 75.0 0.99242425 71.21212121212122 0.8939394 29.545454545454547 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.946970 72.878788 52.169638
15 vowel.scale 21 5 False 10 0.9318181 84.0909090909091 0.9166666 93.18181818181817 0.939394 99.24242424242425 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.929293 92.171717 56.769162
16 vowel.scale 26 1 False 10 0.9015151 82.57575757575758 0.939394 93.18181818181817 0.87878793 71.96969696969697 0.939394 86.36363636363636 0.9166666 11.363636363636363 0.9166666 78.78787878787878 0.9166666 43.18181818181818 0.9318181 89.39393939393939 0.98484844 95.45454545454545 0.9242424 87.12121212121212 0.925000 73.939394 39.104895
17 vowel.scale 26 3 False 10 0.9772727 93.93939393939394 0.9545454 94.6969696969697 0.88636357 96.96969696969697 0.96212125 92.42424242424242 0.9166666 90.9090909090909 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.939394 93.787879 63.894412
18 vowel.scale 26 5 False 10 0.9166666 89.39393939393939 0.9469697 95.45454545454545 0.9090909 53.03030303030303 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.924242 79.292929 88.921153
19 vowel.scale 31 1 False 10 0.9772727 74.24242424242425 0.9469697 94.6969696969697 0.9090909 97.72727272727273 0.98484844 95.45454545454545 0.8636364 92.42424242424242 0.8636364 91.66666666666666 0.939394 93.93939393939394 0.9318181 89.39393939393939 0.96212125 93.93939393939394 0.96212125 92.42424242424242 0.934091 91.590909 50.969131
20 vowel.scale 31 3 False 10 0.9242424 84.0909090909091 0.9318181 95.45454545454545 0.9015151 94.6969696969697 0.99242425 94.6969696969697 0.939394 92.42424242424242 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.937879 92.272727 81.282855
21 vowel.scale 31 5 False 10 0.9318181 87.12121212121212 0.9242424 93.18181818181817 0.8939394 95.45454545454545 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.916667 91.919192 275.249087
22 vowel.scale 36 1 False 10 0.9772727 93.93939393939394 0.9242424 93.18181818181817 0.9015151 95.45454545454545 0.9772727 93.93939393939394 0.8939394 93.18181818181817 0.9318181 96.21212121212122 0.9166666 90.9090909090909 0.939394 87.12121212121212 0.939394 93.93939393939394 0.9469697 91.66666666666666 0.934848 92.954545 52.886826
23 vowel.scale 36 3 False 10 
