N dataset population_size generations cross_validation cv_folds fitness accuracy time
1 iris.scale 1 1 False 10 0.9 100.0 0.326010
2 iris.scale 1 2 False 10 0.9666667 100.0 0.338989
3 iris.scale 1 3 False 10 0.9666667 100.0 0.365567
4 iris.scale 1 4 False 10 0.9666667 100.0 0.351661
5 iris.scale 2 1 False 10 0.93333334 100.0 17.378588
6 iris.scale 2 2 False 10 0.9666667 100.0 6.671202
7 iris.scale 2 3 False 10 0.9666667 100.0 12.841076
8 iris.scale 2 4 False 10 0.9666667 100.0 3.174227
9 iris.scale 3 1 False 10 0.9666667 100.0 7.087528
10 iris.scale 3 2 False 10 0.9666667 100.0 11.604480
11 iris.scale 3 3 False 10 0.9666667 100.0 0.420698
12 iris.scale 3 4 False 10 0.9666667 100.0 20.253484
13 iris.scale 4 1 False 10 0.9666667 100.0 17.052000
14 iris.scale 4 2 False 10 0.9666667 100.0 0.411159
15 iris.scale 4 3 False 10 0.9666667 96.66666666666667 9.192978
16 iris.scale 4 4 False 10 0.9666667 100.0 28.716009
17 iris.scale 5 1 False 10 0.9666667 100.0 13.782085
18 iris.scale 5 2 False 10 0.9666667 100.0 0.512418
19 iris.scale 5 3 False 10 0.9666667 100.0 0.533540
20 iris.scale 5 4 False 10 0.9666667 100.0 10.712991
21 iris.scale 6 1 False 10 0.9666667 100.0 9.023613
22 iris.scale 6 2 False 10 0.9666667 100.0 13.706384
23 iris.scale 6 3 False 10 0.9666667 100.0 3.487805
24 iris.scale 6 4 False 10 0.9666667 100.0 19.867103
25 iris.scale 7 1 False 10 0.9666667 96.66666666666667 15.756351
26 iris.scale 7 2 False 10 0.9666667 100.0 28.162433
27 iris.scale 7 3 False 10 0.9666667 100.0 13.505484
28 iris.scale 7 4 False 10 0.9666667 100.0 19.974366
29 iris.scale 8 1 False 10 0.9666667 100.0 0.911064
30 iris.scale 8 2 False 10 0.9666667 96.66666666666667 10.211185
31 iris.scale 8 3 False 10 0.9666667 100.0 16.035056
32 iris.scale 8 4 False 10 0.9666667 100.0 15.069362
33 iris.scale 9 1 False 10 0.9666667 100.0 13.987157
34 iris.scale 9 2 False 10 0.9666667 63.33333333333333 9.319998
35 iris.scale 9 3 False 10 0.9666667 100.0 24.038694
36 iris.scale 9 4 False 10 0.9666667 100.0 20.179300
37 iris.scale 10 1 False 10 0.9666667 96.66666666666667 4.486053
38 iris.scale 10 2 False 10 0.9666667 100.0 0.851952
39 iris.scale 10 3 False 10 0.9666667 100.0 20.626212
40 iris.scale 10 4 False 10 0.9666667 100.0 18.551669
41 iris.scale 11 1 False 10 0.9666667 20.0 11.936168
42 iris.scale 11 2 False 10 0.9666667 100.0 7.574201
43 iris.scale 11 3 False 10 0.9666667 100.0 10.434981
44 iris.scale 11 4 False 10 0.9666667 100.0 27.380449
45 iris.scale 12 1 False 10 0.9666667 100.0 12.653166
46 iris.scale 12 2 False 10 0.9666667 100.0 12.880365
47 iris.scale 12 3 False 10 0.9666667 100.0 30.280438
48 iris.scale 12 4 False 10 0.9666667 100.0 20.676036
49 iris.scale 13 1 False 10 0.9666667 96.66666666666667 8.900165
50 iris.scale 13 2 False 10 0.9666667 100.0 9.483129
51 iris.scale 13 3 False 10 0.9666667 100.0 13.578593
52 iris.scale 13 4 False 10 0.9666667 100.0 18.785962
53 iris.scale 14 1 False 10 0.9666667 100.0 17.647094
54 iris.scale 14 2 False 10 0.9666667 100.0 16.764003
55 iris.scale 14 3 False 10 0.9666667 100.0 9.443411
56 iris.scale 14 4 False 10 0.9666667 100.0 48.082953
57 iris.scale 15 1 False 10 0.9666667 100.0 11.602696
58 iris.scale 15 2 False 10 0.9666667 100.0 16.460202
59 iris.scale 15 3 False 10 0.9666667 100.0 10.939730
60 iris.scale 15 4 False 10 0.9666667 90.0 5.666834
