N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 fitness5 accuracy5 fitness6 accuracy6 fitness7 accuracy7 fitness8 accuracy8 fitness9 accuracy9 mean_fitness mean_accuracy time
1 vowel.scale 1 1 False 10 0.4772727 40.909090909090914 0.7045455 71.21212121212122 0.09090909 3.787878787878788 0.7348485 73.48484848484848 0.76515156 71.21212121212122 0.045454547 6.8181818181818175 0.88636357 93.93939393939394 0.39393938 39.39393939393939 0.060606062 8.333333333333332 0.3560606 31.060606060606062 0.451515 44.015152 0.470181
2 vowel.scale 1 3 False 10 0.9318181 91.66666666666666 0.87878793 84.0909090909091 0.8939394 85.60606060606061 0.7348485 73.48484848484848 0.7348485 65.9090909090909 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.834848 80.151515 0.632659
3 vowel.scale 1 5 False 10 0.4090909 30.303030303030305 0.44696972 49.24242424242424 0.39393938 37.121212121212125 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.416667 38.888889 0.558463
4 vowel.scale 11 1 False 10 1.0 39.39393939393939 0.719697 42.42424242424242 0.88636357 84.0909090909091 0.8333333 65.15151515151516 0.8333333 85.60606060606061 0.76515156 30.303030303030305 0.7121212 20.454545454545457 0.9166666 88.63636363636364 1.0 32.57575757575758 0.719697 55.3030303030303 0.838636 54.393939 20.223126
5 vowel.scale 11 3 False 10 0.8636364 81.06060606060606 0.6515151 68.18181818181817 0.9090909 67.42424242424242 0.8181818 84.0909090909091 0.87878793 92.42424242424242 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.824242 78.636364 50.536214
6 vowel.scale 11 5 False 10 0.9318181 33.33333333333333 0.9318181 90.15151515151516 0.78787875 79.54545454545455 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.883838 67.676768 48.128331
7 vowel.scale 21 1 False 10 0.8939394 31.818181818181817 0.78787875 80.3030303030303 0.9015151 84.0909090909091 0.88636357 90.9090909090909 0.9242424 93.93939393939394 0.9090909 46.21212121212121 0.8560606 90.9090909090909 0.969697 96.21212121212122 0.7424242 72.72727272727273 0.939394 84.0909090909091 0.881061 77.121212 19.190990
8 vowel.scale 21 3 False 10 0.9015151 90.15151515151516 0.8560606 82.57575757575758 0.78787875 79.54545454545455 0.87878793 55.3030303030303 0.9469697 95.45454545454545 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.874242 80.606061 39.615715
9 vowel.scale 21 5 False 10 0.9318181 93.18181818181817 0.939394 92.42424242424242 0.9090909 84.0909090909091 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.926768 89.898990 60.484663
10 vowel.scale 31 1 False 10 0.9015151 90.15151515151516 0.9242424 91.66666666666666 0.8939394 87.12121212121212 0.8939394 90.9090909090909 0.9318181 93.93939393939394 0.9090909 87.87878787878788 0.87878793 94.6969696969697 0.9545454 93.93939393939394 0.8939394 66.66666666666666 0.9469697 88.63636363636364 0.912879 88.560606 38.139674
11 vowel.scale 31 3 False 10 0.9318181 93.18181818181817 0.9469697 94.6969696969697 0.9318181 90.9090909090909 0.8939394 25.0 0.9469697 96.96969696969697 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.930303 80.151515 70.442086
12 vowel.scale 31 5 False 10 0.9318181 92.42424242424242 0.9318181 92.42424242424242 0.7954545 79.54545454545455 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.886364 88.131313 69.170214
13 vowel.scale 41 1 False 10 0.9318181 91.66666666666666 0.9166666 92.42424242424242 0.9166666 85.60606060606061 0.88636357 89.39393939393939 0.9318181 93.18181818181817 0.9090909 6.8181818181818175 0.8560606 89.39393939393939 0.9772727 98.48484848484848 0.8939394 91.66666666666666 0.9772727 92.42424242424242 0.919697 83.106061 37.222805
14 vowel.scale 41 3 False 10 0.9318181 92.42424242424242 0.9242424 93.93939393939394 0.9242424 87.12121212121212 0.8939394 91.66666666666666 0.9545454 94.6969696969697 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.925758 91.969697 274.514448
15 vowel.scale 41 5 False 10 0.9242424 91.66666666666666 0.9242424 92.42424242424242 0.9242424 86.36363636363636 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.924242 90.151515 79.276871
16 vowel.scale 51 1 False 10 0.9318181 91.66666666666666 0.9469697 93.18181818181817 0.9166666 85.60606060606061 0.87878793 90.15151515151516 0.9469697 95.45454545454545 0.9166666 84.84848484848484 0.8484848 94.6969696969697 0.969697 96.96969696969697 0.84090906 92.42424242424242 0.9545454 88.63636363636364 0.915151 91.363636 47.229690
17 vowel.scale 51 3 False 10 0.9166666 91.66666666666666 0.9318181 92.42424242424242 1.0 68.18181818181817 
