N dataset population_size generations cross_validation cv_folds fitness accuracy time
1 iris.scale 1 1 False 10 0.9666667 100.0 0.360502
2 iris.scale 1 3 False 10 0.9666667 100.0 0.341920
3 iris.scale 3 1 False 10 0.93333334 100.0 12.191859
4 iris.scale 3 3 False 10 0.9666667 96.66666666666667 6.228270
5 iris.scale 5 1 False 10 0.9666667 100.0 12.128777
6 iris.scale 5 3 False 10 0.9666667 100.0 20.253931
7 iris.scale 7 1 False 10 0.9666667 96.66666666666667 0.345069
8 iris.scale 7 3 False 10 0.9666667 100.0 0.520277
9 iris.scale 9 1 False 10 0.9666667 86.66666666666667 20.071358
10 iris.scale 9 3 False 10 0.9666667 100.0 6.160972
11 iris.scale 11 1 False 10 0.9666667 100.0 4.707161
12 iris.scale 11 3 False 10 0.9666667 100.0 0.617688
13 iris.scale 13 1 False 10 0.9666667 100.0 17.009303
14 iris.scale 13 3 False 10 0.9666667 96.66666666666667 12.704045
15 iris.scale 15 1 False 10 0.9666667 100.0 10.199364
16 iris.scale 15 3 False 10 0.9666667 100.0 26.266559
