N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 mean_fitness mean_accuracy time
1 iris.scale 1 1 False 10 0.945946 100.0 0.945946 91.8918918918919 0.945946 100.0 0.945946 97.297297 0.380110
2 iris.scale 1 2 False 10 0.972973 100.0 1.0 94.5945945945946 0.91891897 100.0 0.963964 98.198198 0.372381
3 iris.scale 1 3 False 10 0.945946 100.0 0.945946 86.48648648648648 0.8378378 83.78378378378379 0.909910 90.090090 0.389763
4 iris.scale 1 4 False 10 0.8648649 83.78378378378379 0.8648649 89.1891891891892 0.8918919 89.1891891891892 0.873874 87.387387 0.430404
5 iris.scale 11 1 False 10 0.945946 100.0 1.0 94.5945945945946 0.945946 100.0 0.963964 98.198198 22.015085
6 iris.scale 11 2 False 10 0.972973 100.0 1.0 94.5945945945946 
