N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 fitness5 accuracy5 fitness6 accuracy6 fitness7 accuracy7 fitness8 accuracy8 fitness9 accuracy9 mean_fitness mean_accuracy time
1 iris.scale 1 1 False 10 0.8918919 100.0 0.945946 100.0 0.91891897 91.8918918918919 0.1891892 43.24324324324324 0.8648649 83.78378378378379 0.945946 97.2972972972973 0.972973 97.2972972972973 1.0 91.8918918918919 0.91891897 94.5945945945946 0.972973 100.0 0.862162 90.000000 0.294614
2 iris.scale 3 1 False 10 0.91891897 100.0 0.972973 100.0 0.91891897 94.5945945945946 0.972973 97.2972972972973 1.0 100.0 0.945946 97.2972972972973 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 97.2972972972973 1.0 100.0 0.970270 98.108108 0.292828
3 iris.scale 5 1 False 10 0.91891897 97.2972972972973 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.945946 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 0.972973 94.5945945945946 0.975676 96.756757 0.305764
4 iris.scale 7 1 False 10 0.91891897 100.0 0.972973 100.0 0.91891897 97.2972972972973 1.0 91.8918918918919 0.972973 97.2972972972973 0.945946 97.2972972972973 1.0 91.8918918918919 1.0 91.8918918918919 1.0 100.0 0.972973 100.0 0.970270 96.756757 0.332306
5 iris.scale 9 1 False 10 0.7837838 100.0 0.972973 81.08108108108108 0.91891897 94.5945945945946 0.972973 89.1891891891892 0.972973 100.0 0.945946 97.2972972972973 1.0 100.0 1.0 94.5945945945946 0.91891897 100.0 0.91891897 100.0 0.940541 95.675676 14.142132
6 iris.scale 11 1 False 10 0.91891897 100.0 0.972973 94.5945945945946 0.91891897 94.5945945945946 0.972973 56.75675675675676 0.91891897 75.67567567567568 0.972973 91.8918918918919 0.945946 100.0 1.0 91.8918918918919 1.0 100.0 0.972973 81.08108108108108 0.959459 88.648649 8.345626
7 iris.scale 13 1 False 10 0.91891897 100.0 0.945946 97.2972972972973 0.945946 97.2972972972973 0.972973 62.16216216216216 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 100.0 1.0 81.08108108108108 0.972973 100.0 0.972973 93.243243 9.656484
8 iris.scale 15 1 False 10 0.91891897 75.67567567567568 0.972973 97.2972972972973 0.945946 89.1891891891892 1.0 94.5945945945946 0.972973 83.78378378378379 0.945946 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.975676 92.972973 10.317066
9 iris.scale 17 1 False 10 1.0 100.0 0.972973 100.0 0.91891897 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 0.945946 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.981081 97.837838 8.308661
10 iris.scale 19 1 False 10 0.945946 100.0 0.972973 91.8918918918919 0.945946 70.27027027027027 0.972973 94.5945945945946 1.0 100.0 0.945946 97.2972972972973 1.0 97.2972972972973 1.0 97.2972972972973 1.0 97.2972972972973 1.0 100.0 0.978378 94.594595 12.553199
