N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 fitness5 accuracy5 fitness6 accuracy6 fitness7 accuracy7 fitness8 accuracy8 fitness9 accuracy9 mean_fitness mean_accuracy time
11 iris.scale 21 1 False 10 0.91891897 100.0 0.972973 89.1891891891892 0.945946 94.5945945945946 1.0 89.1891891891892 1.0 97.2972972972973 0.945946 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 97.2972972972973 1.0 100.0 0.978378 95.945946 25.519015
12 iris.scale 23 1 False 10 0.91891897 100.0 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.945946 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.978378 97.837838 27.829955
13 iris.scale 25 1 False 10 0.91891897 89.1891891891892 0.972973 72.97297297297297 0.945946 97.2972972972973 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.981081 94.324324 20.997748
14 iris.scale 27 1 False 10 1.0 100.0 0.972973 94.5945945945946 0.945946 97.2972972972973 1.0 91.8918918918919 1.0 97.2972972972973 0.945946 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.986487 97.297297 9.081157
15 iris.scale 29 1 False 10 0.91891897 100.0 0.972973 94.5945945945946 0.91891897 94.5945945945946 1.0 91.8918918918919 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.978378 96.756757 10.708083
16 iris.scale 31 1 False 10 0.945946 100.0 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 97.837838 12.474277
17 iris.scale 33 1 False 10 0.945946 100.0 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.945946 97.2972972972973 1.0 97.2972972972973 1.0 91.8918918918919 1.0 100.0 1.0 100.0 0.981081 97.297297 19.351350
18 iris.scale 35 1 False 10 0.91891897 100.0 0.972973 100.0 0.945946 94.5945945945946 1.0 97.2972972972973 1.0 70.27027027027027 0.972973 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 0.972973 97.2972972972973 0.978378 95.135135 13.976925
19 iris.scale 37 1 False 10 0.91891897 97.2972972972973 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 97.2972972972973 1.0 100.0 1.0 100.0 0.981081 97.297297 9.163793
20 iris.scale 39 1 False 10 0.91891897 100.0 0.972973 94.5945945945946 0.945946 51.35135135135135 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.981081 92.702703 12.830475
21 iris.scale 41 1 False 10 0.91891897 100.0 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 94.5945945945946 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.981081 97.027027 12.445509
22 iris.scale 43 1 False 10 0.945946 100.0 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 97.567568 18.809018
23 iris.scale 45 1 False 10 0.91891897 100.0 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 94.5945945945946 1.0 94.5945945945946 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.981081 97.027027 19.831786
24 iris.scale 47 1 False 10 0.945946 100.0 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 97.027027 8.895314
25 iris.scale 49 1 False 10 0.91891897 100.0 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 97.2972972972973 0.981081 97.297297 26.847400
26 iris.scale 51 1 False 10 0.91891897 100.0 0.972973 97.2972972972973 0.945946 97.2972972972973 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.981081 97.837838 15.950884
27 iris.scale 53 1 False 10 0.945946 100.0 0.972973 94.5945945945946 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 94.5945945945946 0.972973 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 96.756757 22.822907
28 iris.scale 55 1 False 10 0.945946 100.0 1.0 72.97297297297297 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 100.0 1.0 91.8918918918919 1.0 97.2972972972973 1.0 100.0 0.986487 94.594595 11.942381
29 iris.scale 57 1 False 10 0.91891897 100.0 0.972973 100.0 0.945946 91.8918918918919 1.0 91.8918918918919 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 100.0 1.0 91.8918918918919 1.0 56.75675675675676 1.0 100.0 0.981081 92.702703 8.822750
30 iris.scale 59 1 False 10 0.91891897 100.0 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.981081 97.567568 18.707235
31 iris.scale 61 1 False 10 0.91891897 100.0 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.981081 97.567568 13.805056
32 iris.scale 63 1 False 10 0.945946 100.0 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 78.37837837837837 1.0 100.0 0.983784 95.135135 12.627582
33 iris.scale 65 1 False 10 0.91891897 100.0 1.0 97.2972972972973 0.945946 89.1891891891892 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 96.756757 22.713059
34 iris.scale 67 1 False 10 0.945946 100.0 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 97.567568 13.882740
35 iris.scale 69 1 False 10 0.945946 97.2972972972973 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 97.027027 16.915936
36 iris.scale 71 1 False 10 0.945946 100.0 0.972973 100.0 0.945946 89.1891891891892 1.0 89.1891891891892 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 91.8918918918919 1.0 100.0 1.0 100.0 0.983784 96.486486 9.656830
37 iris.scale 73 1 False 10 0.945946 100.0 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 97.567568 14.537304
38 iris.scale 75 1 False 10 0.91891897 100.0 0.972973 100.0 1.0 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.945946 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 97.837838 19.691251
39 iris.scale 77 1 False 10 0.91891897 100.0 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 97.2972972972973 0.945946 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.978378 97.027027 20.354362
40 iris.scale 79 1 False 10 0.945946 100.0 0.972973 100.0 0.945946 91.8918918918919 1.0 89.1891891891892 1.0 100.0 0.972973 97.2972972972973 1.0 100.0 1.0 91.8918918918919 1.0 100.0 1.0 100.0 0.983784 97.027027 11.227892
41 iris.scale 81 1 False 10 0.91891897 100.0 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.945946 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 97.2972972972973 1.0 100.0 0.978378 97.297297 12.443688
42 iris.scale 83 1 False 10 0.91891897 100.0 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 97.2972972972973 1.0 100.0 0.981081 97.567568 20.974774
43 iris.scale 85 1 False 10 0.945946 100.0 0.972973 100.0 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 97.567568 9.471633
44 iris.scale 87 1 False 10 0.945946 100.0 0.972973 86.48648648648648 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 91.8918918918919 1.0 100.0 1.0 100.0 0.983784 95.945946 9.520052
45 iris.scale 89 1 False 10 0.945946 100.0 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 97.297297 10.610871
46 iris.scale 91 1 False 10 0.91891897 97.2972972972973 0.972973 81.08108108108108 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.981081 95.675676 9.518905
47 iris.scale 93 1 False 10 0.91891897 100.0 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 91.8918918918919 1.0 100.0 1.0 100.0 0.981081 97.027027 10.076563
48 iris.scale 95 1 False 10 0.945946 100.0 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 100.0 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 97.297297 11.446743
49 iris.scale 97 1 False 10 0.945946 100.0 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 97.297297 14.630747
50 iris.scale 99 1 False 10 0.945946 100.0 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 94.5945945945946 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.983784 96.756757 28.510739
51 iris.scale 101 1 False 10 0.91891897 100.0 0.972973 97.2972972972973 0.945946 94.5945945945946 1.0 91.8918918918919 1.0 100.0 0.945946 97.2972972972973 1.0 94.5945945945946 1.0 94.5945945945946 1.0 100.0 1.0 100.0 0.978378 97.027027 19.288417
52 dna.scale 1 1 False 10 0.934 89.8 0.92200005 95.0 0.588 60.0 0.93799996 95.0 0.924 90.2 0.89400005 88.6 0.92999995 92.60000000000001 0.936 95.0 0.568 55.2 0.912 94.0 0.854600 85.540000 2.901853
53 dna.scale 3 1 False 10 0.89400005 90.60000000000001 0.92200005 95.19999999999999 0.96000004 93.8 0.93200004 95.19999999999999 0.92999995 90.8 0.93200004 92.0 0.92999995 92.2 0.93200004 94.39999999999999 0.912 90.8 0.89000005 91.2 0.923400 92.620000 5.949955
54 dna.scale 5 1 False 10 0.966 93.8 0.92800003 94.6 0.96000004 95.6 0.92 93.4 0.924 90.2 0.944 94.6 0.944 94.19999999999999 0.93799996 95.0 0.952 93.4 0.93799996 93.8 0.941400 93.860000 9.290913
55 dna.scale 7 1 False 10 0.9639999 94.0 0.93799996 95.6 0.934 90.60000000000001 0.952 96.0 0.958 93.2 0.934 92.80000000000001 0.94600004 94.0 0.94 95.8 0.96000004 94.19999999999999 0.904 92.2 0.943000 93.840000 8.622865
56 dna.scale 9 1 False 10 0.89599997 93.4 0.924 91.8 0.94799995 94.0 0.864 69.19999999999999 1.0 92.60000000000001 0.92800003 92.4 0.904 61.4 1.0 59.8 0.90999997 90.8 0.85599995 85.8 0.923000 83.120000 163.174921
57 dna.scale 11 1 False 10 1.0 90.4 0.934 95.6 0.934 90.60000000000001 0.934 95.19999999999999 0.924 90.2 0.912 88.6 0.518 51.800000000000004 0.92800003 93.2 0.92800003 91.0 0.904 92.2 0.891600 87.880000 175.126807
58 dna.scale 13 1 False 10 0.96199995 96.0 0.92999995 93.60000000000001 0.94 93.2 0.934 95.19999999999999 0.94799995 93.60000000000001 0.944 94.6 0.96000004 95.8 0.91800004 92.80000000000001 0.906 88.0 1.0 91.2 0.944200 93.400000 201.944132
59 dna.scale 15 1 False 10 
