N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 fitness5 accuracy5 fitness6 accuracy6 fitness7 accuracy7 fitness8 accuracy8 fitness9 accuracy9 mean_fitness mean_accuracy time
1 protein 1 1 False 10 0.6759739 66.76424228777303 0.65255576 64.12970051790138 0.6876829 69.21864444944832 0.6840801 66.74172483674849 0.680027 66.20130601215942 0.6730466 66.40396307138032 0.6698942 67.30466111236208 0.46903855 46.9038504841252 0.6489529 63.679351497410494 0.6746228 67.34969601441117 0.651587 64.469714 423.753356
2 protein 1 3 False 10 0.69061023 67.4172483674848 0.6870074 67.2145913082639 0.68970954 69.19612699842378 0.6816032 66.38144562035578 0.64039636 62.778653456428735 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.677865 66.597613 682.259894
3 protein 1 5 False 10 
