N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
1 mushrooms 1 3 False 10 1.0 100.0 1.0 100.0 1.0 100.0 0.98572135 98.76907927129493 1.0 100.0 0.997144 99.753816 3.704282
2 mushrooms 1 4 False 10 1.0 100.0 1.0 100.0 1.0 99.9507631708518 1.0 100.0 0.9724274 97.34121122599704 0.994485 99.458395 6.200395
3 mushrooms 1 5 False 10 1.0 100.0 1.0 100.0 0.98572135 98.2767109798129 1.0 100.0 1.0 100.0 0.997144 99.655342 11.753890
4 mushrooms 11 3 False 10 1.0 100.0 1.0 100.0 1.0 100.0 1.0 100.0 1.0 100.0 1.000000 100.000000 807.494724
5 mushrooms 11 4 False 10 1.0 100.0 1.0 100.0 1.0 100.0 1.0 99.9015263417036 1.0 100.0 1.000000 99.980305 485.926539
6 mushrooms 11 5 False 10 1.0 100.0 1.0 99.85228951255539 
