N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 mean_fitness mean_accuracy time
1 iris.scale 1 1 False 10 1.0 94.5945945945946 0.972973 83.78378378378379 0.91891897 97.2972972972973 0.963964 91.891892 0.362747
2 iris.scale 1 2 False 10 0.8648649 94.5945945945946 0.945946 94.5945945945946 0.91891897 97.2972972972973 0.909910 95.495495 0.380349
3 iris.scale 1 3 False 10 0.945946 100.0 0.972973 91.8918918918919 0.91891897 89.1891891891892 0.945946 93.693694 0.360181
4 iris.scale 1 4 False 10 0.972973 97.2972972972973 0.945946 94.5945945945946 0.91891897 97.2972972972973 0.945946 96.396396 0.382783
5 iris.scale 11 1 False 10 0.972973 97.2972972972973 1.0 89.1891891891892 0.945946 97.2972972972973 0.972973 94.594595 3.102183
6 iris.scale 11 2 False 10 1.0 97.2972972972973 
