N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 mean_fitness mean_accuracy time
1 iris.scale 1 1 False 10 0.91891897 97.2972972972973 0.91891897 100.0 0.972973 94.5945945945946 0.936937 97.297297 0.538500
2 iris.scale 1 2 False 10 0.8918919 91.8918918918919 0.91891897 94.5945945945946 1.0 94.5945945945946 0.936937 93.693694 0.390477
3 iris.scale 1 3 False 10 0.945946 100.0 0.945946 97.2972972972973 1.0 91.8918918918919 0.963964 96.396396 0.348535
4 iris.scale 1 4 False 10 0.91891897 94.5945945945946 0.972973 91.8918918918919 1.0 94.5945945945946 0.963964 93.693694 0.561162
5 iris.scale 11 1 False 10 
